KEGG_ID,pathway_1,pathway_2,pathway_3,pathway_4,pathway_5,pathway_6,pathway_7,pathway_8,pathway_9,pathway_10
C00140,map00520,map01100,map02010,map02060,,,,,,
C00141,map00280,map00290,map00770,map00966,map01100,map01110,map01130,map01210,map01230,
C00143,,,,,,,,,,
C00144,map00230,map01060,map01065,map01100,map01523,map04022,map04740,map04742,map04744,
C00145,,,,,,,,,,
C00146,map00350,map00361,map00362,map00627,map01120,map01220,map04974,,,
C00147,map00230,map00908,map01100,,,,,,,
C00148,map00330,map00332,map00333,map00401,map00404,map00970,map01100,map01110,map01130,map01230
C00149,,,,,,,,,,
C00150,,,,,,,,,,
C00151,map00480,map02010,,,,,,,,
C00152,map00250,map00460,map00970,map01060,map01100,map01110,map01230,map04974,map04978,map05230
C00153,map00760,map01100,map04212,map04977,,,,,,
C00154,map00061,map00062,map00071,map00563,map00600,map01040,map01070,map01100,map01212,map04071
C00155,map00270,map00920,map01100,map01110,map01230,map01523,map04621,,,
C00156,map00130,map00360,map00362,map00363,map00623,map00627,map00790,map01061,map01100,map01110
C00157,map00564,map00590,map00591,map00592,map01100,map01110,map04723,map05231,,
C00158,map00020,map00250,map00630,map00720,map01060,map01061,map01062,map01063,map01064,map01065
C00159,map00051,map00052,map00520,map01100,map02010,map02060,map04142,map04625,,
C00160,map00361,map00625,map00630,map01100,map01110,map01120,map01130,map01200,,
C00161,,,,,,,,,,
C00162,map00062,map00071,map00561,map04152,map04714,map04911,map04920,map04923,map04930,map04931
C00163,map00640,map00642,map00760,map01100,map01120,map01220,map04973,map04974,,
C00164,map00072,map00280,map00310,map00350,map00640,map00643,map00650,map01100,map01120,map02020
C00165,map01521,map04010,map04012,map04014,map04015,map04020,map04024,map04062,map04064,map04066
C00166,map00360,map00400,map00960,map01060,map01100,map01110,map01130,map01210,map01230,
C00167,,,,,,,,,,
C00168,,,,,,,,,,
C00169,map00220,map00230,map00240,map00250,map00910,map01100,map01120,map01200,map01230,
C00170,,,,,,,,,,
C00171,,,,,,,,,,
C00172,,,,,,,,,,
C00173,,,,,,,,,,
C00174,,,,,,,,,,
C00175,map02010,,,,,,,,,
C00176,,,,,,,,,,
C00177,,,,,,,,,,
C00178,map00240,map01100,,,,,,,,
C00179,map00330,map01100,,,,,,,,
C00180,map00360,map00362,map00621,map00623,map00627,map01063,map01100,map01110,map01120,map01220
C00181,map00040,map00520,map01100,map02010,,,,,,
C00182,map04922,,,,,,,,,
C00183,map00280,map00290,map00311,map00460,map00770,map00966,map00970,map01060,map01063,map01100
C00184,,,,,,,,,,
C00185,map00500,map01100,map02010,map02060,,,,,,
C00186,map00010,map00051,map00620,map00640,map00643,map01100,map01110,map01120,map01130,map04024
C00187,map00100,map00120,map00140,map00981,map00984,map01066,map01100,map01120,map04913,map04925
C00188,map00260,map00261,map00290,map00860,map00970,map01060,map01100,map01110,map01120,map01130
C00189,map00564,map01100,map04723,,,,,,,
C00190,map00520,map00908,map01100,,,,,,,
C00191,,,,,,,,,,
C00192,map00910,map01120,,,,,,,,
C00193,,,,,,,,,,
C00194,map00860,map01100,,,,,,,,
C00195,map00600,map01100,map04071,map04217,map04722,map04920,map04931,map04933,map05140,
C00196,map00362,map00627,map01053,map01061,map01110,map01120,map01130,,,
C00197,,,,,,,,,,
C00198,map00030,map01100,map01110,map01120,map01130,map01200,,,,
C00199,,,,,,,,,,
C00200,,,,,,,,,,
C00201,,,,,,,,,,
C00202,,,,,,,,,,
C00203,map00520,map01100,,,,,,,,
C00204,,,,,,,,,,
C00205,,,,,,,,,,
C00206,map00230,map01100,,,,,,,,
C00207,map00072,map00640,map01100,,,,,,,
C00208,map00500,map01100,map02010,map02030,map02060,map04742,map04973,,,
C00209,map00230,map00625,map00630,map01100,map01120,,,,,
C00210,,,,,,,,,,
C00211,,,,,,,,,,
C00212,map00230,map01100,map04022,map04024,map04071,map04080,map04270,map04923,map04924,map05012
C00213,map00260,map00330,map01100,,,,,,,
C00214,map00240,map01100,,,,,,,,
C00215,,,,,,,,,,
C00216,,,,,,,,,,
C00217,map00471,map01100,,,,,,,,
C00218,map00680,map01120,map01200,,,,,,,
C00219,map00590,map00591,map01040,map01100,map04216,map04217,map04270,map04611,map04664,map04666
C00220,,,,,,,,,,
C00221,map00010,map00030,map01100,map01110,map01120,map01130,map01200,,,
C00222,,,,,,,,,,
C00223,map00130,map00330,map00360,map00940,map00941,map00945,map01061,map01100,map01110,map01220
C00224,map00230,map00261,map00920,map01100,map01120,map01130,,,,
C00225,,,,,,,,,,
C00226,map00071,map00073,,,,,,,,
C00227,,,,,,,,,,
C00229,map00061,map00071,map00524,map00540,map00770,map01130,map01212,,,
C00230,map00362,map00400,map00623,map00624,map00627,map01061,map01100,map01110,map01120,map01130
C00231,,,,,,,,,,
C00232,,,,,,,,,,
C00233,map00280,map00290,map00966,map01100,map01110,map01210,map01230,,,
C00234,,,,,,,,,,
C00235,,,,,,,,,,
C00236,,,,,,,,,,
C00237,,,,,,,,,,
C00238,map02020,map04022,map04024,map04260,map04261,map04270,map04621,map04713,map04723,map04724
C00239,map00240,map01100,,,,,,,,
C00240,,,,,,,,,,
C00241,,,,,,,,,,
C00242,map00230,map01100,,,,,,,,
C00243,map00052,map01100,map02010,map02060,map04973,,,,,
C00244,map00910,map01120,map02010,map02020,,,,,,
C00245,map00120,map00430,map00920,map01100,map02010,map04080,,,,
C00246,map00650,map01100,map04973,map04974,,,,,,
C00247,map00051,,,,,,,,,
C00248,,,,,,,,,,
C00249,map00061,map00062,map00071,map00073,map01040,map01060,map01100,map01212,,
C00250,map00750,map01100,map01120,map04977,,,,,,
C00251,,,,,,,,,,
C00252,map00500,,,,,,,,,
C00253,map00760,map00960,map01060,map01064,map01100,map01110,map01120,map05133,,
C00254,map00400,map00401,map00999,map01060,map01061,map01063,map01100,map01110,map01130,map01230
C00255,map00740,map01100,map01110,map04977,,,,,,
C00256,map00620,map01120,map01502,,,,,,,
C00257,,,,,,,,,,
C00258,,,,,,,,,,
C00259,map00040,map00053,map00520,map01100,map02010,,,,,
C00261,map00623,map00627,map01120,map01220,,,,,,
C00262,map00230,map01100,,,,,,,,
C00263,map00260,map00270,map00300,map00920,map01100,map01110,map01120,map01130,map01230,
C00264,map00062,,,,,,,,,
C00265,,,,,,,,,,
C00266,map00040,map00630,map00750,map00790,map01100,map01120,,,,
C00267,,,,,,,,,,
C00268,map00790,map01100,,,,,,,,
C00269,map00564,map01100,map01110,map04070,,,,,,
C00270,map00520,map01100,,,,,,,,
C00272,map00790,map01100,map05418,,,,,,,
C00273,,,,,,,,,,
C00275,map00051,map00520,map01100,map01110,map01130,map02060,map04142,,,
C00279,,,,,,,,,,
C00280,map00140,map00984,map01100,map01120,map01522,map04913,map04917,map05200,map05215,
C00282,map02020,map04973,map04974,,,,,,,
C00283,map00270,map00920,map01100,map01120,map01200,,,,,
C00284,,,,,,,,,,
C00286,map00230,map01100,,,,,,,,
C00288,map00230,map00720,map00910,map02010,map04024,map04113,map04964,map04966,map04970,map04971
C00290,map04371,map04610,,,,,,,,
C00291,map02010,map02020,,,,,,,,
C00292,map00627,map01120,,,,,,,,
C00294,map00230,map01100,,,,,,,,
C00295,map00240,map01100,,,,,,,,
C00296,map00400,,,,,,,,,
C00297,,,,,,,,,,
C00298,,,,,,,,,,
C00299,map00240,map01100,,,,,,,,
C00300,,,,,,,,,,
C00301,map00230,,,,,,,,,
C00302,map00460,,,,,,,,,
C00303,,,,,,,,,,
C00304,,,,,,,,,,
C00305,map02020,map04217,map04720,map04744,map04978,,,,,
C00306,map04022,map04071,map04080,map04610,map04750,map04810,map05142,map05143,map05200,
C00307,map00564,map01100,map05231,,,,,,,
C00308,,,,,,,,,,
C00309,map00040,map01100,,,,,,,,
C00310,,,,,,,,,,
C00311,map00020,map00630,map00720,map01060,map01061,map01062,map01063,map01064,map01065,map01066
C00312,,,,,,,,,,
C00313,map00630,map01100,,,,,,,,
C00314,map00750,map01100,map01120,,,,,,,
C00315,map00330,map00410,map00480,map00940,map01100,map02010,map04976,,,
C00317,,,,,,,,,,
C00318,map04714,map04976,,,,,,,,
C00319,map00600,map01100,map04071,map04210,map04217,,,,,
C00320,map00920,map01100,map01120,map02010,,,,,,
C00322,,,,,,,,,,
C00323,map00360,map00940,map00941,map00945,map01061,map01063,map01100,map01110,map01220,
C00324,,,,,,,,,,
C00325,map00051,map00520,map01100,,,,,,,
C00326,,,,,,,,,,
C00327,map00220,map01100,map01110,map01130,map01230,,,,,
C00328,map00380,map01100,map05143,,,,,,,
C00329,map00520,map01100,map02060,,,,,,,
C00330,map00230,map01100,,,,,,,,
C00331,map00380,map01100,,,,,,,,
C00332,,,,,,,,,,
C00333,map00040,map00053,map00520,map01100,map02010,,,,,
C00334,map00250,map00330,map00410,map00650,map00760,map01100,map01120,map02024,map04024,map04080
C00337,map00240,map01100,,,,,,,,
C00338,map01100,map01503,map02010,map04010,map04066,map05132,map05133,map05134,map05152,map05332
C00339,,,,,,,,,,
C00340,map00071,,,,,,,,,
C00341,map00130,map00900,map00902,map01060,map01062,map01066,map01070,map01100,map01110,map01130
C00342,,,,,,,,,,
C00343,,,,,,,,,,
C00344,map00564,map01100,,,,,,,,
C00345,,,,,,,,,,
C00346,map00564,map00600,map01100,map01503,map04071,,,,,
C00347,,,,,,,,,,
C00348,,,,,,,,,,
C00349,map00280,,,,,,,,,
C00350,map00563,map00564,map01100,map01110,map04136,map04138,map04140,map04723,map05130,map05167
C00351,,,,,,,,,,
C00352,map00250,map00520,map01100,map01130,map02060,map04931,,,,
C00353,map00130,map00403,map00900,map00904,map00906,map00999,map01060,map01062,map01066,map01070
C00354,,,,,,,,,,
C00355,map00350,map00950,map00965,map01060,map01063,map01100,map01110,map04728,map04917,map05012
C00356,,,,,,,,,,
C00357,map00520,map01100,map01130,map02060,,,,,,
C00360,map00230,map01100,,,,,,,,
C00361,map00230,map01100,,,,,,,,
C00362,map00230,map01100,,,,,,,,
C00363,map00240,map01100,,,,,,,,
C00364,map00240,map01100,map01523,,,,,,,
C00365,map00240,map01100,map01523,,,,,,,
C00366,map00230,map01100,map01120,map04976,,,,,,
C00367,,,,,,,,,,
C00369,map00500,map00710,map01100,map01110,map04910,map04931,map04973,,,
C00370,,,,,,,,,,
C00371,map00908,map01060,map01070,map01100,map01110,map04075,,,,
C00372,map00500,,,,,,,,,
C00373,,,,,,,,,,
C00374,map04664,map05133,,,,,,,,
C00375,,,,,,,,,,
C00376,map00830,map01100,map04744,map04977,,,,,,
C00377,,,,,,,,,,
C00378,map00730,map01100,map02010,map04122,map04977,,,,,
C00379,,,,,,,,,,
C00380,map00240,map01100,,,,,,,,
C00381,map00510,map01062,map01100,,,,,,,
C00383,map00240,map00410,,,,,,,,
C00384,,,,,,,,,,
C00385,map00230,map00232,map01060,map01065,map01100,map01110,map01120,,,
C00386,map00340,map00410,map01100,,,,,,,
C00387,map00230,map01100,,,,,,,,
C00388,map00340,map01065,map01100,map01110,map04080,map04664,map04721,map04750,map04971,map04974
C00389,map00941,map00944,map01100,map01110,map04152,,,,,
C00390,map00190,map01100,,,,,,,,
C00391,,,,,,,,,,
C00392,map00051,map02010,map02060,,,,,,,
C00393,,,,,,,,,,
C00394,map00500,map00520,map01100,,,,,,,
C00395,map00311,map01100,map01130,,,,,,,
C00396,,,,,,,,,,
C00397,map00524,map01130,,,,,,,,
C00398,map00380,map00901,map01060,map01063,map01100,map01110,map04080,,,
C00399,map00130,map00190,map01100,map01110,map02020,,,,,
C00400,map00902,map01110,map04750,,,,,,,
C00401,map00532,map01100,,,,,,,,
C00402,map00250,,,,,,,,,
C00403,,,,,,,,,,
C00404,,,,,,,,,,
C00405,,,,,,,,,,
C00406,map00073,map00330,map00360,map00940,map00941,map00945,map01061,map01100,map01110,
C00407,map00280,map00290,map00460,map00960,map00966,map00970,map01060,map01064,map01100,map01110
C00408,map00310,map00960,map01060,map01064,map01100,map01110,,,,
C00409,map00270,map00920,,,,,,,,
C00410,map00140,map01100,map04114,map04913,map04914,map04917,map04925,map04927,map04934,map05200
C00411,map00940,map01061,map01100,map01110,,,,,,
C00412,map01040,map01070,map01212,,,,,,,
C00413,map00521,map01130,,,,,,,,
C00414,map00930,map01120,map01220,,,,,,,
C00415,map00670,map00790,map01061,map01100,map01523,,,,,
C00416,map00561,map00564,map01100,map01110,map04024,map04070,map04072,map04666,map04912,map04975
C00417,map00020,map00630,map00660,map00720,map01060,map01061,map01062,map01063,map01064,map01065
C00418,,,,,,,,,,
C00419,,,,,,,,,,
C00420,,,,,,,,,,
C00422,map00561,map01100,map04714,map04923,map04931,map04975,map04977,map04979,,
C00423,map00130,map00360,map00940,map01060,map01070,map01100,map01110,map01120,map01220,
C00424,map00051,map00620,map00640,map01120,,,,,,
C00426,map00531,map01100,map05205,,,,,,,
C00427,map00590,map01100,map04611,map04723,map04726,map04921,map07034,map07035,,
C00429,map00240,map00410,map00770,map01100,,,,,,
C00430,map00260,map00860,map01060,map01100,map01110,map01120,map02010,,,
C00431,map00310,map00330,,,,,,,,
C00433,map00040,map00053,map00330,map01100,,,,,,
C00434,map05322,,,,,,,,,
C00435,map00071,,,,,,,,,
C00436,map00330,map01100,,,,,,,,
C00437,map00220,map01100,map01110,map01130,map01210,map01230,,,,
C00438,map00240,map00250,map01100,,,,,,,
C00439,map00340,map01100,,,,,,,,
C00440,,,,,,,,,,
C00441,,,,,,,,,,
C00444,,,,,,,,,,
C00445,,,,,,,,,,
C00446,,,,,,,,,,
C00447,map00710,map01100,map01120,map01200,,,,,,
C00448,map00100,map00900,map00906,map00909,map00981,map00999,map01060,map01062,map01066,map01070
C00449,,,,,,,,,,
C00450,map00310,map00960,map01060,map01064,map01100,map01110,,,,
C00451,,,,,,,,,,
C00454,,,,,,,,,,
C00455,map00760,map01100,,,,,,,,
C00458,map00240,map01100,,,,,,,,
C00459,map00240,map01100,,,,,,,,
C00460,map00240,map01100,,,,,,,,
C00461,map00520,map01100,,,,,,,,
C00462,,,,,,,,,,
C00463,map00380,map00400,map00402,map01100,map01110,map04974,,,,
C00464,map00051,,,,,,,,,
C00466,,,,,,,,,,
C00468,map00140,map01100,map04913,map04917,map07226,,,,,
C00469,map00010,map01100,map01110,map01120,map01130,map04750,map05034,,,
C00470,map00040,map01100,map02010,,,,,,,
C00472,map00627,map01120,,,,,,,,
C00473,map00830,map01100,map04977,,,,,,,
C00474,map00040,map00740,map01100,,,,,,,
C00475,map00240,map01100,,,,,,,,
C00476,map00040,,,,,,,,,
C00477,map00981,map04214,,,,,,,,
C00478,,,,,,,,,,
C00479,map00622,map00640,map01100,map01120,map01220,,,,,
C00480,,,,,,,,,,
C00481,,,,,,,,,,
C00482,map00940,map01061,map01100,map01110,,,,,,
C00483,map00350,map00680,map00950,map01060,map01063,map01110,map04080,map04974,,
C00484,,,,,,,,,,
C00486,map00860,map01100,map01110,map04976,,,,,,
C00487,map00310,map02010,,,,,,,,
C00488,map00460,map00910,map01200,,,,,,,
C00489,map00071,map00310,,,,,,,,
C00490,map00660,,,,,,,,,
C00491,map00270,map01100,map02010,map04216,map04974,,,,,
C00492,map00052,map02010,,,,,,,,
C00493,,,,,,,,,,
C00494,map01130,,,,,,,,,
C00495,,,,,,,,,,
C00496,,,,,,,,,,
C00497,map00650,,,,,,,,,
C00498,map00500,map00520,map01100,map01110,,,,,,
C00499,map00230,map01100,map01120,,,,,,,
C00500,map00860,map01100,map01110,,,,,,,
C00501,map00500,map00520,map01100,,,,,,,
C00502,map00040,,,,,,,,,
C00503,map02010,,,,,,,,,
C00504,map00670,map00790,map01061,map01100,map01523,map04976,map04977,,,
C00505,,,,,,,,,,
C00506,map00270,map00430,map01100,map04080,,,,,,
C00507,map00051,map01120,,,,,,,,
C00508,map00040,map01100,,,,,,,,
C00509,map00941,map00943,map01061,map01100,map01110,,,,,
C00510,map01040,map01212,,,,,,,,
C00511,map00643,map01120,map01220,,,,,,,
C00512,map00360,map00362,map00623,map00627,map00642,map01064,map01100,map01120,map01220,
C00513,map00564,,,,,,,,,
C00514,map00040,map01100,,,,,,,,
C00515,map00472,map01100,,,,,,,,
C00516,,,,,,,,,,
C00517,map00071,,,,,,,,,
C00518,map05418,,,,,,,,,
C00519,map00430,map01100,,,,,,,,
C00521,map00902,map00903,map01062,map01100,map01110,,,,,
C00522,map00770,map01100,map01110,,,,,,,
C00523,map00140,,,,,,,,,
C00524,map00190,map00860,map01100,,,,,,,
C00525,,,,,,,,,,
C00526,map00240,,,,,,,,,
C00527,map00071,map00310,map00362,map00380,map01100,map01120,map01130,,,
C00528,,,,,,,,,,
C00530,map00350,map00361,map00362,map00363,map00627,map01100,map01120,,,
C00531,map00660,,,,,,,,,
C00532,map00040,map01100,,,,,,,,
C00533,map00330,map00910,map01120,map04022,map04066,map04071,map04151,map04270,map04370,map04371
C00534,map00750,map01100,map01120,map04977,,,,,,
C00535,map00140,map00984,map01100,map01120,map01522,map04913,map05200,map05215,map07226,
C00536,map00190,,,,,,,,,
C00538,,,,,,,,,,
C00539,,,,,,,,,,
C00540,map00940,map00941,map00945,map01100,map01110,map01220,,,,
C00541,map00860,map01100,,,,,,,,
C00542,,,,,,,,,,
C00543,map00680,map01120,map01200,,,,,,,
C00544,map00130,map00350,map00643,map01100,map01120,,,,,
C00545,map00053,map01100,,,,,,,,
C00546,map00260,map00620,map00640,map01120,,,,,,
C00547,map00350,map01100,map02020,map02024,map04024,map04080,map04261,map04270,map04540,map04714
C00548,,,,,,,,,,
C00549,,,,,,,,,,
C00550,map00600,map01100,map04071,map04217,,,,,,
C00551,,,,,,,,,,
C00552,map00630,,,,,,,,,
C00553,map00902,map01110,,,,,,,,
C00555,map00330,map00410,map01100,,,,,,,
C00556,map00623,map01120,map01220,,,,,,,
C00557,,,,,,,,,,
C00558,map00040,map00562,map01100,,,,,,,
C00559,map00230,map01100,,,,,,,,
C00561,map00460,map01110,,,,,,,,
C00562,,,,,,,,,,
C00563,,,,,,,,,,
C00565,map00680,map01120,map01200,,,,,,,
C00566,map00720,map01100,map01120,map01200,,,,,,
C00568,map00627,map00790,map01061,map01100,map01120,,,,,
C00569,map00572,,,,,,,,,
C00570,map00564,map01100,,,,,,,,
C00571,map00930,map01120,,,,,,,,
C00573,map00531,map01100,map05205,,,,,,,
C00574,,,,,,,,,,
C00575,map00230,map01522,map02025,map02026,map04010,map04014,map04015,map04020,map04022,map04024
C00576,map00260,map01100,,,,,,,,
C00577,,,,,,,,,,
C00579,,,,,,,,,,
C00580,map00920,,,,,,,,,
C00581,,,,,,,,,,
C00582,map00360,map01120,,,,,,,,
C00583,map00640,,,,,,,,,
C00584,map00590,map01100,map04024,map04080,map04625,map04726,map04750,map04921,map04923,map04924
C00585,,,,,,,,,,
C00586,,,,,,,,,,
C00587,map00362,map00400,map00623,map00624,map01120,map01220,,,,
C00588,map00564,map01100,map05231,,,,,,,
C00590,map00940,map00999,map01061,map01100,map01110,,,,,
C00591,,,,,,,,,,
C00593,map00430,map00680,map01100,map01120,,,,,,
C00596,map00360,map00362,map00621,map00622,map00642,map00643,map01100,map01120,map01220,
C00597,,,,,,,,,,
C00599,map00984,map01120,,,,,,,,
C00601,map00360,map00643,map01100,map01120,,,,,,
C00602,,,,,,,,,,
C00603,map00230,map01100,map01120,,,,,,,
C00604,,,,,,,,,,
C00605,map00062,,,,,,,,,
C00606,map00270,map00430,map01100,,,,,,,
C00607,map05205,map05418,,,,,,,,
C00608,,,,,,,,,,
C00609,map00073,map01110,,,,,,,,
C00611,,,,,,,,,,
C00612,,,,,,,,,,
C00613,,,,,,,,,,
C00614,,,,,,,,,,
C00615,,,,,,,,,,
C00616,map00944,,,,,,,,,
C00617,map00520,map01100,,,,,,,,
C00618,,,,,,,,,,
C00619,,,,,,,,,,
C00620,map00030,map00230,,,,,,,,
C00621,map00510,map00900,map01100,map01110,,,,,,
C00623,map00564,,,,,,,,,
C00624,map00220,map01100,map01110,map01130,map01210,map01230,,,,
C00625,,,,,,,,,,
C00627,map00750,map01100,,,,,,,,
C00628,map00350,map00362,map00626,map01100,map01120,,,,,
