,X.1,X,CID,Inchikey,SID,KEGGID,Name,Name_1,pathway_1,pathway_2,pathway_3,pathway_4,pathway_5,pathway_6,Class
16,16,1160,11953909,BRMDRKOAVZEJCS-WPUGSIMNSA-N,10745,C08552,Lampranthin II,,map00965,,,,,,Alkaloids and derivatives
17,17,1192,441582,BSVABPABKQCTBP-GZJVQYRHSA-N,10707,C08514,3-Acetylnerbowdine,,,,,,,,Alkaloids and derivatives
18,18,1304,5280953,BXNJHAXVSOCGBA-UHFFFAOYSA-N,8768,C06538,Harmine,,map01063,,,,,,Alkaloids and derivatives
19,19,1309,443361,BXTHVTLKWJZGAA-ODYMNIRHSA-N,13845,C11680,Cathenamine,,map00901,map01063,map01100,map01110,,,Alkaloids and derivatives
20,20,1310,443362,BXTHVTLKWJZGAA-YFROIQMUSA-N,13846,C11681,19-epi-Cathenamine,,map00901,map01110,,,,,Alkaloids and derivatives
21,21,1380,443407,CAHCBJPUTCKATP-NNFUYEGGSA-N,13957,C11793,Etorphine,,,,,,,,Alkaloids and derivatives
22,22,1435,5281351,CCNTUVFHVFQEJI-ULBRXFQASA-N,11233,C09041,Aspidospermatine,,,,,,,,Alkaloids and derivatives
23,23,1597,44891335,CJDRUOGAGYHKKD-UORGRDHFSA-N,8772,C06542,Ajmaline,,map00901,map01110,,,,,Alkaloids and derivatives
24,24,1905,442947,CULUKMPMGVXCEI-UWVGGRQHSA-N,12943,C10760,Caulophylline,N-Methylcytisine,,,,,,,Alkaloids and derivatives
25,25,2013,8424,CYHOMWAPJJPNMW-UHFFFAOYSA-N,3994,C00729,Tropine,3alpha-Tropanol,map00960,map01064,map01100,map01110,,,Alkaloids and derivatives
26,26,2014,8424,CYHOMWAPJJPNMW-UHFFFAOYSA-N,5154,C02066,Pseudotropine,,map00960,,,,,,Alkaloids and derivatives
27,27,2080,443768,DAHMYCXNJSCLGA-UHFFFAOYSA-O,582721,C12331,"2,3,9,10-Tetrahydroxyberberine",,,,,,,,Alkaloids and derivatives
28,28,2280,11953901,DHHFDKNIEVKVKS-FMOSSLLZSA-N,10733,C08540,Betanin,,map00965,map01110,,,,,Alkaloids and derivatives
29,29,2601,94150,DTMXRZMJFCVJQS-AWEZNQCLSA-N,11602,C09411,Cularine,,,,,,,,Alkaloids and derivatives
30,30,2640,23335,DUSFBAYEYGRYOT-CYBMUJFWSA-N,11559,C09368,(-)-Caaverine,"Noraporphin-1-ol, 2-methoxy-",,,,,,,Alkaloids and derivatives
31,31,2711,442328,DYAAXURJUVSJEZ-AWEZNQCLSA-N,11780,C09589,(+)-Mecambroline,,,,,,,,Alkaloids and derivatives
32,32,2730,160492,DYPLDWLIOGXSSE-UHFFFAOYSA-N,96023345,C16821,Guvacoline,,,,,,,,Alkaloids and derivatives
33,33,2830,443729,FBWQZJWDTGIERI-MIYFKOFASA-N,14385,C12240,Dubiusine,,,,,,,,Alkaloids and derivatives
34,34,2840,5281750,FCEVNJIUIMLVML-QPSVUOIXSA-N,12577,C10391,Seneciphylline,,,,,,,,Alkaloids and derivatives
35,35,3097,20485,FNGGIPWAZSFKCN-ACRUOGEOSA-N,11435,C09244,Tabersonine,,map00901,map01063,map01100,map01110,,,Alkaloids and derivatives
36,36,3190,5324289,FQXXSQDCDRQNQE-VMDGZTHMSA-N,8424,C06173,Thebaine,,map00950,map01063,map01100,map01110,map07039,,Alkaloids and derivatives
37,37,3661,5324492,GJSSYQDXZLZOLR-ONUGHKICSA-N,163312173,C20436,Fumigaclavine A,,map00901,map01130,,,,,Alkaloids and derivatives
38,38,3690,441592,GKZWOVRDMISXTE-VGYNPPCGSA-N,10717,C08524,Cavinine,,,,,,,,Alkaloids and derivatives
39,39,3740,5462504,GMLREHXYJDLZOU-LEPYJNQMSA-N,13942,C11778,3-Acetylmorphine,O(3)-Monoacetylmorphine,,,,,,,Alkaloids and derivatives
40,40,3780,5281755,GOENJWUGVSLZDQ-NCLHDQKXSA-N,12596,C10410,Triangularine,6-Angelyl-9-sarracinylretronecine,,,,,,,Alkaloids and derivatives
41,41,3870,72340,GRTOGORTSDXSFK-DLLGKBFGSA-N,13847,C11682,Tetrahydroalstonine,,map00901,map01110,,,,,Alkaloids and derivatives
42,42,3970,5462328,GVGLGOZIDCSQPN-PVHGPHFFSA-N,8764,C06534,Heroin,Diamorphine,,,,,,,Alkaloids and derivatives
43,43,4179,31116,HEFIYUQVAZFDEE-MKTPKCENSA-N,11356,C09164,Ergocristine,,,,,,,,Alkaloids and derivatives
44,44,4296,443416,HIOAYNMZFIHQNS-DKPBEWKJSA-N,13974,C11810,Norajmaline,,map00901,map01110,,,,,Alkaloids and derivatives
45,45,4323,2230,HJJPJSXJAXAIPN-UHFFFAOYSA-N,12315,C10129,Arecoline,,,,,,,,Alkaloids and derivatives
46,46,4377,441994,HLAQOSKRDJCTPZ-BCVSJKHFSA-N,11242,C09050,Bonafousine,,,,,,,,Alkaloids and derivatives
47,47,4684,439972,HXLWDALZXJIPSY-LPIRWUFSSA-N,6162,C03309,Strictosidine aglycone,,map00901,map01100,map01110,,,,Alkaloids and derivatives
48,48,4711,98570,HYBRYAPKQCZIAE-UHFFFAOYSA-N,5213,C02134,Allocryptopine,,map00950,map01110,,,,,Alkaloids and derivatives
49,49,4950,5462509,IHBSVVZENGBQDY-BBWFWOEESA-N,13952,C11788,17-Methylmorphinan,N-Methyl morphinan,,,,,,,Alkaloids and derivatives
50,50,5000,46173814,IJGDMFUAWANQSX-LHSJRXKWSA-N,96023232,C16708,Isoandrocymbine,,map00950,map01063,map01110,,,,Alkaloids and derivatives
51,51,5371,441076,IXPDLJKEPLTCOU-FFSVYQOJSA-N,8761,C06531,alpha-Erythroidine,,,,,,,,Alkaloids and derivatives
52,52,5471,5282247,JBRYWENFVHQBGY-GFSCOHCQSA-N,586274,C13683,Histrionicotoxin,,,,,,,,Alkaloids and derivatives
53,53,5573,11953903,JFSHCYUNIKQIPE-XAZCMKEVSA-N,10734,C08541,Bougainvillein-r-I,Bougainvillein-v,,,,,,,Alkaloids and derivatives
54,54,5660,5462507,JJGYGPZNTOPXGV-SSTWWWIQSA-N,13945,C11781,6-Acetylmorphine,6-O-Monoacetylmorphine,,,,,,,Alkaloids and derivatives
55,55,5776,442962,JMXNBIDTNISOTA-AICCOOGYSA-N,12963,C10780,Retamine,,,,,,,,Alkaloids and derivatives
56,56,5880,72341,JRVWIILYWSBUMC-PRUVNFMMSA-N,11439,C09248,Tubulosine,,map00950,,,,,,Alkaloids and derivatives
57,57,5980,439768,JVYKIBAJVKEZSQ-VJTDZRGJSA-N,5604,C02621,13-Hydroxylupanine,13-Hydroxylupinine,map00960,,,,,,Alkaloids and derivatives
58,58,6044,442956,JYIJIIVLEOETIQ-ZOBORPQBSA-N,12955,C10772,Lupanine,(+)-Lupanine,map00960,map01064,,,,,Alkaloids and derivatives
59,59,6160,440229,KDFKJOFJHSVROC-INIZCTEOSA-N,6807,C04118,Isocorypalmine,"5,8,13,13a-Tetrahydrocolumbamine",map00950,map01063,map01110,,,,Alkaloids and derivatives
60,60,6609,363262,KUECBJOPWMRHEX-CQSZACIVSA-N,96023555,C17077,Tuduranine,,,,,,,,Alkaloids and derivatives
61,61,6930,133323,LINHZVMHXABQLB-ZDUSSCGKSA-N,11732,C09541,(S)-Isoboldine,(+)-Isoboldine,map01063,,,,,,Alkaloids and derivatives
62,62,7010,2703,LLEJIEBFSOEYIV-UHFFFAOYSA-N,14372,C12227,Chelerythrine,,,,,,,,Alkaloids and derivatives
63,63,7106,5953,LOUPRKONTZGTKE-NBGVHYBESA-N,8758,C06527,Quinidine,(+)-Quinidine,map01063,,,,,,Alkaloids and derivatives
64,64,7119,442025,LPIJOZBIVDCQTE-MRVPVSSYSA-N,11281,C09089,Calligonine,Elaeagnine,map01063,,,,,,Alkaloids and derivatives
65,65,7491,103008,MDIDMOWWLBGYPG-UHFFFAOYSA-N,582842,C12452,Acetyltropine,3-Acetyltropine,map00960,,,,,,Alkaloids and derivatives
66,66,7701,440296,MNCVVTFLNVITRD-RLFCDOPRSA-N,6976,C04318,11-O-Demethyl-17-O-deacetylvindoline,,,,,,,,Alkaloids and derivatives
67,67,7758,11953905,MPMOZJNSLITZSA-VSOFAJKKSA-N,10735,C08542,Celosianin II,,map00965,,,,,,Alkaloids and derivatives
68,68,7800,443696,MQZDOSAHCDNWQT-JHOUSYSJSA-N,14342,C12196,Bocconarborine A,(+/-)-Bocconarborine A,,,,,,,Alkaloids and derivatives
69,69,7925,5281754,MVWPTZQHBOWRTF-SMLWLWDZSA-N,12595,C10409,Symphytine,7-Tiglyl-9-(-)-viridiflorylretronecine,,,,,,,Alkaloids and derivatives
70,70,7974,638024,MXXWOMGUGJBKIW-YPCIICBESA-N,6615,C03882,Piperine,"N-[(E,E)-Piperoyl]piperidine",map00960,map01064,,,,,Alkaloids and derivatives
71,71,8371,121336,NMVDXQMYKKNYFO-ZDUSSCGKSA-N,11779,C09588,Mecambrine,,,,,,,,Alkaloids and derivatives
72,72,8590,73489,NVVDQMVGALBDGE-KSWFMABOSA-N,11331,C09139,Coronaridine,(-)-Coronaridine,,,,,,,Alkaloids and derivatives
73,73,8834,5359271,OGDVEMNWJVYAJL-LEPYJNQMSA-N,9740,C07537,Ethylmorphine,,,,,,,,Alkaloids and derivatives
74,74,9067,442218,OOQFZQDSQKMUFW-GUYCJALGSA-N,11613,C09422,Erysonine,,,,,,,,Alkaloids and derivatives
75,75,9130,5284371,OROGSEYTTFOCAN-DNJOTXNNSA-N,8425,C06174,Codeine,"(5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol",map00950,map00982,map01100,map01110,,,Alkaloids and derivatives
76,76,9150,5280486,OSJPGOJPRNTSHP-ICYIRATMSA-N,5160,C02074,Raucaffricine,Vomilenine beta-D-glucoside,map00901,map01110,,,,,Alkaloids and derivatives
77,77,9541,443845,PHMBVCPLDPDESM-GHNGIAPOSA-N,582839,C12449,Pseudoecgonine,,map00960,,,,,,Alkaloids and derivatives
78,78,9650,133322,PLEOQAHCVRVCDL-ZDUSSCGKSA-N,11557,C09366,Bracteoline,,,,,,,,Alkaloids and derivatives
79,79,9732,442245,PNJUPRNTSWJWAX-CYBMUJFWSA-N,11648,C09457,Glaziovine,,,,,,,,Alkaloids and derivatives
80,80,9790,12313091,PQECCKIOFCWGRJ-HNNXBMFYSA-N,319902600,C21370,(S)-Nandinine,,,,,,,,Alkaloids and derivatives
81,81,9840,5281404,PSFDQSOCUJVVGF-UHFFFAOYSA-N,11400,C09209,Harman,,map01063,,,,,,Alkaloids and derivatives
82,82,10119,5910,QCHFTSOMWOSFHM-WPRPVWTQSA-N,9677,C07474,Pilocarpine,,map01065,map01110,,,,,Alkaloids and derivatives
83,83,10161,10143,QELDJEKNFOQJOY-ZDUSSCGKSA-N,11740,C09549,Isocorydine,,,,,,,,Alkaloids and derivatives
84,84,10266,443844,QIQNNBXHAYSQRY-ABIFROTESA-N,582838,C12448,Ecgonine methyl ester,Methyl ecgonine,map00960,map01064,map01100,map01110,,,Alkaloids and derivatives
85,85,10345,441071,QMGVPVSNSZLJIA-FVWCLLPLSA-N,8753,C06522,Strychnine,,map01063,map01110,,,,,Alkaloids and derivatives
86,86,10430,193405,QPRMGHKASRLPJP-FGTMMUONSA-N,12322,C10136,Cassine,,,,,,,,Alkaloids and derivatives
87,87,10510,657201,QSFKGMJOKUZAJM-JXMYBXCISA-M,9048,C06830,Anisotropine methylbromide,Methyloctatropine bromide,,,,,,,Alkaloids and derivatives
88,88,10950,3565,RHVPEFQDYMMNSY-UHFFFAOYSA-N,8767,C06537,Harmalol,,,,,,,,Alkaloids and derivatives
89,89,11010,156006,RKDOFSJTBIDAHX-OFSOMGBPSA-N,96023275,C16751,Acetyllycopsamine,,,,,,,,Alkaloids and derivatives
90,90,11070,443004,RNAIYSUVIULACI-ZPSGRKDYSA-N,13042,C10859,Knightinol,,,,,,,,Alkaloids and derivatives
91,91,11142,11281,RQCOQZNIQLKGTN-ZDUSSCGKSA-N,11741,C09550,Isothebaine,,,,,,,,Alkaloids and derivatives
92,92,11412,5281381,SAHHMCVYMGARBT-HEESEWQSSA-N,11323,C09131,Chanoclavine-I,,map00901,map01130,,,,,Alkaloids and derivatives
93,93,11461,440929,SBVRPBAVNZNLKX-UHFFFAOYSA-N,8420,C06165,Macarpine,,map00950,map01063,map01100,map01110,,,Alkaloids and derivatives
94,94,11499,253994,SDLILULALIDNSO-UHFFFAOYSA-N,96023226,C16702,4'-O-Methylnorbelladine,,map00950,map01063,map01110,,,,Alkaloids and derivatives
95,95,11546,258956,SEWQEQSXDGJDGG-ZTFGCOKTSA-N,10706,C08513,Acetylcaranine,Belamarine,,,,,,,Alkaloids and derivatives
96,96,11569,73614,SFVVQRJOGUKCEG-XTWPYSKKSA-N,12512,C10326,Indicine,,,,,,,,Alkaloids and derivatives
97,97,11570,107938,SFVVQRJOGUKCEG-ZGFBFQLVSA-N,12533,C10347,Lycopsamine,9-Viridiflorylretronecine,,,,,,,Alkaloids and derivatives
98,98,11620,442115,SHKMVIVFLHPOSB-TVRWTGHXSA-N,11428,C09237,Roxburghine B,,,,,,,,Alkaloids and derivatives
99,99,11928,5281744,SVCNNZDUGWLODJ-RAYFHMIRSA-N,12561,C10375,Riddelline,18-Hydroxyseneciphylline,,,,,,,Alkaloids and derivatives
100,100,11966,5462506,SWYNUDMXTNTERF-SSTWWWIQSA-N,13944,C11780,6-Ethylmorphine,,,,,,,,Alkaloids and derivatives
101,101,12131,1750826,TXJZRSRTYPUYRW-NQIIRXRSSA-N,329970431,C21479,RSL3,"(1S,3R)-RSL3",map04216,,,,,,Alkaloids and derivatives
102,102,12161,5281415,TYPMTMPLTVSOBU-BGUKETDVSA-N,11444,C09253,Vobasine,,,,,,,,Alkaloids and derivatives
103,103,12190,3037151,TZUGIFAYWNNSAO-AZQGJTAVSA-N,96023457,C16971,Hirsuteine,,,,,,,,Alkaloids and derivatives
104,104,12191,3037997,TZUGIFAYWNNSAO-XPOGPMDLSA-N,163311873,C17872,Corynantheine,,,,,,,,Alkaloids and derivatives
105,105,12250,442136,UCIDWKVIQZIKEK-NXWOVTFFSA-N,11465,C09274,Tabernanthine,,,,,,,,Alkaloids and derivatives
106,106,12291,443402,UELNVPGLHDEZFM-PKQGEJGHSA-N,13948,C11784,Echitovenine,,map00901,map01110,,,,,Alkaloids and derivatives
107,107,12390,5284595,UIQMVEYFGZJHCZ-SSTWWWIQSA-N,13951,C11787,Nalorphine,,,,,,,,Alkaloids and derivatives
108,108,12549,443731,UPCSAMZZCYKRAB-BKSIRQEFSA-N,14388,C12243,(+/-)-gamma-Lycorane,,,,,,,,Alkaloids and derivatives
109,109,12702,5281865,UVHGSMZRSVGWDJ-RUDMXATFSA-N,13051,C10868,Tigloidine,,,,,,,,Alkaloids and derivatives
110,110,12850,49787018,VBEQZFNVRMPLSM-DTIPLSSUSA-N,14226,C12075,Tetraphyllicine,NSC72114,,,,,,,Alkaloids and derivatives
111,111,12880,443691,VCFGXYUXSWZFDE-GEMNNEOKSA-N,14337,C12191,ent-6beta-Hydroxybuphanisine,,,,,,,,Alkaloids and derivatives
112,112,12881,443692,VCFGXYUXSWZFDE-SQBBPKDDSA-N,14338,C12192,ent-6alpha-Hydroxybuphanisine,,,,,,,,Alkaloids and derivatives
113,113,13000,443700,VGTQLFWIJIABSU-UHFFFAOYSA-N,14346,C12200,(+/-)-6-Acetonyldihydrochelerythrine,"6-Acetonyl-5,6-dihydrochelerythrine",,,,,,,Alkaloids and derivatives
114,114,13090,12456,VKJGBAJNNALVAV-UHFFFAOYSA-M,583069,C12679,Berberine chloride,,,,,,,,Alkaloids and derivatives
115,115,13113,388787,VLDOBKJPRUQEEC-FVQBIDKESA-N,14336,C12190,9-O-Demethylhomolycorine,,,,,,,,Alkaloids and derivatives
116,116,13121,332915,VLMZMRDOMOGGFA-WDBKCZKBSA-N,163312145,C20408,Festuclavine,"6,8-beta-Dimethylergoline",map00901,map01130,,,,,Alkaloids and derivatives
117,117,13260,441597,VREZDOWOLGNDPW-ALTGWBOUSA-N,10728,C08535,Pancratistatin,,,,,,,,Alkaloids and derivatives
118,118,13291,24360,VSJKWCGYPAHWDS-FQEVSTJZSA-N,5009,C01897,Camptothecin,,map01063,map07042,,,,,Alkaloids and derivatives
119,119,13417,5460176,VXTDUGOBAOLMED-GJKVQYCKSA-N,13800,C11635,10-Deoxysarpagine,Sarpagan-17-ol,map00901,map01110,,,,,Alkaloids and derivatives
120,120,13656,160500,WHFUDAOCYRYAKQ-LBPRGKRZSA-N,96023936,C17591,(S)-Corytuberine,,map00950,map01110,,,,,Alkaloids and derivatives
121,121,13981,197001,WSVWKHTVFGTTKJ-AWEZNQCLSA-N,135626451,C19985,Nantenine,,,,,,,,Alkaloids and derivatives
122,122,14060,5284570,WVLOADHCBXTIJK-YNHQPCIGSA-N,9254,C07042,Hydromorphone,,,,,,,,Alkaloids and derivatives
123,123,14094,5570,WWNNZCOKKKDOPX-UHFFFAOYSA-N,4250,C01004,N-Methylnicotinate,Trigonelline,map00760,,,,,,Alkaloids and derivatives
124,124,14339,442944,XFWSJSOEWSRENH-UHFFFAOYSA-N,12939,C10756,Cadiamine,,,,,,,,Alkaloids and derivatives
125,125,14368,441988,XGYZDZNXCXHGBV-WVCANSMHSA-N,11232,C09040,Aspidofractine,,,,,,,,Alkaloids and derivatives
126,126,14432,73484,XJOOMMHNYOJWCZ-UKRRQHHQSA-N,11215,C09023,Agroclavine,,map00901,map01130,,,,,Alkaloids and derivatives
127,127,14503,164663,XMJAZPFSQQKHEG-QMMMGPOBSA-N,12586,C10400,Supinidine,,,,,,,,Alkaloids and derivatives
128,128,14891,2353,YBHILYKTIRIUTE-UHFFFAOYSA-N,4019,C00757,Berberine,Umbellatine,map00950,map01063,map01110,map04152,,,Alkaloids and derivatives
129,129,14962,134551,YDOTUXAWKBPQJW-NSLWYYNWSA-N,9748,C07545,alpha-Ergocryptine,,,,,,,,Alkaloids and derivatives
130,130,15040,441593,YGPRSGKVLATIHT-HSHDSVGOSA-N,10720,C08527,Haemanthamine,Hemanthamine,map00950,,,,,,Alkaloids and derivatives
131,131,15041,73620,YGPRSGKVLATIHT-SPOWBLRKSA-N,10718,C08525,Crinamine,"(3alpha,5alpha,11R,13beta,19alpha)-1, 2-Didehydro-3-methoxycrinan-11-ol",,,,,,,Alkaloids and derivatives
132,132,15141,656853,YKEUOHBRJUALFI-ILSKZLILSA-N,854292,C14054,Dihydro-beta-ergocryptine mesylate,,,,,,,,Alkaloids and derivatives
133,133,15180,443682,YLWAQARRNQVEHD-IEGACIPQSA-N,14325,C12179,Tazettine,Sekisanin,,,,,,,Alkaloids and derivatives
134,134,15308,442940,YQMWQSMYVPLYDI-SYQHCUMBSA-N,12935,C10752,Aphylline,(+)-Aphylline,,,,,,,Alkaloids and derivatives
135,135,15400,442222,YTZIQRTXKBDFKM-HOTGVXAUSA-N,11617,C09426,Eschscholtzidine,"(5S)-5,6,11,12-Tetrahydro-8,9-dimethoxy-14-methyl-benzo[5,6]cycloocta[1,2-f]-1,3-benzodioxol-5,11-imine",,,,,,,Alkaloids and derivatives
136,136,15646,443406,ZDXGFIXMPOUDFF-XLIONFOSSA-N,13955,C11791,Bremazocine,,map07039,,,,,,Alkaloids and derivatives
137,137,15673,97176,ZERVJPYNQLONEK-UHFFFAOYSA-N,11290,C09098,Canthin-6-one,"6H-Indolo(3,2,1-de)(1,5)naphthyridin-6-one",,,,,,,Alkaloids and derivatives
138,138,15764,5486827,ZHVWWEYETMPAMX-IFKAHUTRSA-N,163311909,C20166,Naltriben,NTB,,,,,,,Alkaloids and derivatives
139,139,15880,5458383,ZMAODHOXRBLOQO-TZVKRXPSSA-N,135626419,C19953,Cytochalasin A,"(7S,13E,16R,21E)-7-Hydroxy-16-methyl-10-phenyl-24-oxa[14]cytochalasa-6(12),13,21-triene-1,20,23-trione",,,,,,,Alkaloids and derivatives
140,140,15890,164611,ZMNSHBTYBQNBPV-ZDUSSCGKSA-N,135626446,C19980,Domesticine,,,,,,,,Alkaloids and derivatives
141,141,16064,5282593,ZTVIKZXZYLEVOL-DGKWVBSXSA-N,10016,C07814,Homatropine,,,,,,,,Alkaloids and derivatives
142,142,16110,442963,ZVTFRRVBMAUIQW-STQMWFEESA-N,12964,C10781,Rhombifoline,"(1R)-3-(3-Butenyl)-1,2,3,4,5,6-hexahydro-1,5-methano-8H-pyrido[1,2-a][1,4]diazocin-8-one",,,,,,,Alkaloids and derivatives
143,3469,89,440933,ADKXZIOQKHHDNQ-MRVPVSSYSA-N,8430,C06179,Hygrine,(+)-Hygrine,map00960,map01064,map01100,map01110,,,Alkaloids and derivatives
144,143,11,443817,AAMCJNYIOAHDFN-BCCCWXECSA-N,582800,C12410,Urdamycinone F,,map01057,map01130,,,,,Benzenoids
145,144,16,2431,AAQOQKQBGPPFNS-UHFFFAOYSA-N,9073,C06855,Bretylium,,map07037,map07232,,,,,Benzenoids
146,145,30,18170,ABNDFSOIUFLJAH-UHFFFAOYSA-N,5633,C02660,Benzyl thiocyanate,,,,,,,,Benzenoids
147,146,52,237654,ACFSRZSOLKNILS-UHFFFAOYSA-N,17395894,C14896,"1-Methyl-6-(1,2,3,4-tetrahydro-6-methoxy-2-naphthyl)-2(1H)-pyridone",,,,,,,,Benzenoids
148,147,60,135515530,ACMXQHFNODYQAT-UHFFFAOYSA-N,124489190,C18516,Cyflufenamid,,,,,,,,Benzenoids
149,148,110,420422,AEFPCFUCFQBXDQ-UHFFFAOYSA-N,13037,C10854,Convolamine,,,,,,,,Benzenoids
150,149,152,14989,AFHJQYHRLPMKHU-WEZNYRQKSA-N,96024097,C17778,Isobarbaloin,Aloin B,,,,,,,Benzenoids
151,150,159,74318,AFMVESZOYKHDBJ-UHFFFAOYSA-N,8936,C06711,Fluoren-9-ol,9-Fluorenol,map00624,map01100,map01120,,,,Benzenoids
152,151,160,5281927,AFMYMMXSQGUCBK-CWSCUYGGSA-N,13641,C11471,Dynemicin A,,,,,,,,Benzenoids
153,152,162,5318,AFNXATANNDIXLG-UHFFFAOYSA-N,10276,C08076,Sulconazole,,,,,,,,Benzenoids
154,153,164,6724,AFPRJLBZLPBTPZ-UHFFFAOYSA-N,5757,C02807,Acenaphthenequinone,Acenaphthoquinone,,,,,,,Benzenoids
155,154,203,237413,AHDDRJBFJBDEPW-DTWKUNHWSA-N,17396416,C15419,trans-2-Phenylcyclopropanecarboxylic acid,,,,,,,,Benzenoids
156,155,207,6294,AHJKRLASYNVKDZ-UHFFFAOYSA-N,8862,C06636,TDE,DDD,,,,,,,Benzenoids
157,156,213,185623,AHNUBWYOIHCGFN-FQEVSTJZSA-N,11790,C09599,Parfumine,,,,,,,,Benzenoids
158,157,219,62608,AHWMWMNEYBHQNL-UHFFFAOYSA-N,124490200,C19528,Sudan Brown RR,C.I. 11285,,,,,,,Benzenoids
159,158,230,16421,AIGRXSNSLVJMEA-UHFFFAOYSA-N,17395434,C14434,EPN,O-Ethyl O-p-nitrophenyl phenylphosphonothioate,,,,,,,Benzenoids
160,159,244,440284,AIXYOVZVCBPJAR-UHFFFAOYSA-N,6948,C04286,"3,5-Dinitro-4-hydroxyphenylpyruvate",,,,,,,,Benzenoids
161,160,245,24180706,AJCNOWKYMZKMFV-UHFFFAOYSA-N,17395410,C14410,Phenbenzamine hydrochloride,,map07212,,,,,,Benzenoids
162,161,250,37249,AJKLKINFZLWHQE-UHFFFAOYSA-N,17395367,C14367,"2,2',3,3',5,5'-Hexachlorobiphenyl",PCB 133,,,,,,,Benzenoids
163,162,252,72060,AJOQSQHYDOFIOX-UHFFFAOYSA-N,582980,C12590,Pheneturide,Ethylphenacemide,,,,,,,Benzenoids
164,163,256,301,AJPXTSMULZANCB-UHFFFAOYSA-N,8827,C06601,Chlorohydroquinone,"1,4-Dihydroxyl-2-chlorobenzene",map00361,map01120,,,,,Benzenoids
165,164,258,115159,AJRJPORIQGYFMT-UHFFFAOYSA-N,51090983,C16659,"2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine",EDDP,map00982,,,,,,Benzenoids
166,165,262,8401,AJYOOHCNOXWTKJ-UHFFFAOYSA-N,17395671,C14672,p-Chlorobenzhydrol,(4-Chlorophenyl)phenylmethanol,,,,,,,Benzenoids
167,166,266,9338,AKEUNCKRJATALU-UHFFFAOYSA-N,318172278,C21298,"2,6-Dihydroxybenzoate",gamma-Resorcylate,map00362,map01120,,,,,Benzenoids
168,167,272,43233,AKNQMEBLVAMSNZ-UHFFFAOYSA-N,124489375,C18701,Azaconazole,,,,,,,,Benzenoids
169,168,290,7104,ALKYHXVLJMQRLQ-UHFFFAOYSA-N,47205520,C16212,3-Hydroxy-2-naphthoate,,map00624,map01120,,,,,Benzenoids
170,169,291,60753,ALOBUEHUHMBRLE-UHFFFAOYSA-N,9955,C07753,Ibutilide,,,,,,,,Benzenoids
171,170,293,21694,ALRLPDGCPYIVHP-UHFFFAOYSA-N,17395421,C14421,1-Nitropyrene,,,,,,,,Benzenoids
172,171,295,443197,ALTXUIJFJAHUPS-KGLIPLIRSA-N,13603,C11431,"Phenanthrene-1,2-oxide",,map00624,map01120,,,,,Benzenoids
